date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,states,totalTestResults,totalTestResultsIncrease
10/22/2020,214941,1126,23018,8178,2496,41125,435968,111560077,917807,2641,2147,8328402,73003,3350982,56,136455443,1255490
10/21/2020,213815,1019,22855,8291,2131,40397,433472,110642270,690570,2622,2090,8255399,60980,3321258,56,135199953,965947
10/20/2020,212796,837,22662,8213,2265,39406,431341,109951700,756578,2593,2045,8194419,60569,3293315,56,134234006,978137
10/19/2020,211959,456,22475,8069,1666,37954,429076,109195122,1024097,2577,1800,8133850,57108,3270429,56,133255869,1142014
10/18/2020,211503,402,22391,7383,813,36536,427410,108171025,765614,2557,1762,8076742,48280,3231947,56,132113855,1058711
10/17/2020,211101,773,22320,7466,1528,37474,426597,107405411,965151,2553,1791,8028462,57355,3218561,56,131055144,1313446
10/16/2020,210328,897,22202,7328,1864,37470,425069,106440260,970366,2547,1739,7971107,68265,3195422,56,129741698,1252025
10/15/2020,209431,930,22051,7302,1999,37420,423205,105469894,851903,2531,1769,7902842,63384,3175500,56,128489673,1131020
10/14/2020,208501,807,21889,7239,2455,37176,421206,104617991,621162,2516,1776,7839458,56078,3153746,56,127358653,1060101
10/13/2020,207694,698,21735,7096,2008,36161,418751,103996829,858966,2485,1755,7783380,48576,3122531,56,126298552,1074766
10/12/2020,206996,282,21625,6866,1169,35156,416743,103137863,882966,2464,1666,7734804,42645,3104644,56,125223786,1062196
10/11/2020,206714,468,21553,6749,981,34609,415574,102254897,802045,2454,1646,7692159,46268,3072920,56,124161590,1082128
10/10/2020,206246,681,21512,6752,1472,34700,414593,101452852,961538,2451,1667,7645891,57424,3061045,56,123079462,1265260
10/9/2020,205565,898,21389,6785,1727,34989,413121,100491314,948103,2437,1655,7588467,56790,3037145,56,121814202,1219105
10/8/2020,204667,985,21217,6694,2131,34446,411394,99543211,884499,2427,1638,7531677,55204,3019299,56,120595097,1173237
10/7/2020,203682,925,21112,6575,2140,33584,409263,98658712,731540,2410,1646,7476473,50588,2997942,56,119421860,999154
10/6/2020,202757,610,20973,6502,-768,32720,407123,97927172,716607,2388,1609,7425885,38917,2950348,56,118422706,932914
10/5/2020,202147,344,20812,6287,1486,31434,407891,97210565,844187,2370,1515,7386968,37756,2933035,56,117489792,995060
10/4/2020,201803,365,20729,6056,663,30063,406405,96366378,823033,2362,1485,7349212,37982,2909644,56,116494732,1033879
10/3/2020,201438,740,20686,6073,1083,30209,405742,95543345,844923,2358,1501,7311230,50937,2895307,56,115460853,1113384
10/2/2020,200698,847,20612,6194,1433,30877,404659,94698422,975103,2348,1533,7260293,49253,2871287,56,114347469,1261155
10/1/2020,199851,858,20492,6263,1732,30951,403226,93723319,763481,2334,1547,7211040,45600,2858704,56,113086314,1021405
9/30/2020,198993,1063,20390,6236,1638,31018,401494,92959838,676981,2319,1507,7165440,44346,2838664,56,112064909,932299
9/29/2020,197930,737,20247,6181,1651,30583,399856,92282857,711210,2298,1495,7121094,36442,2811386,56,111132610,939900
9/28/2020,197193,247,20121,6052,1223,29688,398205,91571647,912421,2285,1518,7084652,35883,2792677,56,110192710,1163464
9/27/2020,196946,306,20050,6170,613,29579,396982,90659226,669417,2277,1511,7048769,34983,2764336,56,109029246,906676
9/26/2020,196640,871,20002,6143,1197,29670,396369,89989809,886631,2272,1509,7013786,47407,2748595,56,108122570,1133407
9/25/2020,195769,850,19919,6220,1320,29900,395172,89103178,876562,2264,1506,6966379,55186,2725475,56,106989163,1124064
9/24/2020,194919,939,19555,6269,1495,30158,393852,88226616,802920,2177,1560,6911193,43343,2708310,56,105865099,1053996
9/23/2020,193980,1154,19452,6203,1449,30021,392357,87423696,804579,2154,1544,6867850,38619,2670381,56,104811103,1030983
9/22/2020,192826,864,19324,6196,1519,29658,390908,86619117,673704,2130,1562,6829231,49475,2645001,56,103780120,874914
9/21/2020,191962,280,19353,6140,1103,28873,389389,85945413,636797,2116,1572,6779756,39137,2614069,56,102905206,775017
9/20/2020,191682,323,19281,6100,525,28724,388286,85308616,788523,2112,1595,6740619,35504,2587314,56,102130189,977084
9/19/2020,191359,747,19243,6163,1036,29185,387761,84520093,945675,2111,1577,6705115,44906,2575561,56,101153105,1184703
9/18/2020,190612,900,19163,6175,1416,29652,386725,83574418,853055,2107,1608,6660209,47250,2556013,56,99968402,1106624
9/17/2020,189712,880,19057,6278,1544,30007,385309,82721363,737466,2092,1658,6612959,43291,2538622,56,98861778,971030
9/16/2020,188832,1178,18961,6308,1475,30362,383765,81983897,628536,2090,1651,6569668,40108,2523824,56,97890748,835616
9/15/2020,187654,1045,18847,6310,1453,30447,382290,81355361,651999,2071,1572,6529560,34904,2493331,56,97055132,826661
9/14/2020,186609,408,18748,6238,956,30045,380837,80703362,366688,2061,1507,6494656,33618,2476089,56,96228471,499002
9/13/2020,186201,390,18692,6233,545,29921,379881,80336674,611857,2056,1562,6461038,34314,2448271,56,95729469,776011
9/12/2020,185811,818,18648,6451,1132,30758,379336,79724817,809094,2051,1619,6426724,41865,2437110,56,94953458,1007047
9/11/2020,184993,1008,18549,6379,1516,31529,378204,78915723,724107,2031,1715,6384859,44684,2416126,56,93946411,934382
9/10/2020,183985,1161,18453,6531,1496,32536,376688,78191616,577344,2008,1925,6340175,37304,2401781,56,93012029,800627
9/9/2020,182824,1102,18322,6646,1934,32647,375192,77614272,552261,1994,1903,6302871,31171,2385790,56,92211402,721089
9/8/2020,181722,352,18189,6542,979,32345,373258,77062011,483429,1975,1879,6271700,22135,2357307,56,91490313,580749
9/7/2020,181370,226,18156,6630,474,32116,372279,76578582,558855,1967,1879,6249565,28142,2331821,56,90909564,666758
9/6/2020,181144,447,18125,6700,499,32497,371805,76019727,700038,1960,1912,6221423,32920,2314245,56,90242806,829418
9/5/2020,180697,921,18089,6766,1187,33626,371306,75319689,761699,1956,1956,6188503,44743,2300418,56,89413388,968778
9/4/2020,179776,996,18012,6924,1227,34191,370119,74557990,849576,1943,1995,6143760,51511,2281748,56,88444610,1050818
9/3/2020,178780,1076,17894,6921,1491,34747,368892,73708414,680038,1928,2042,6092249,44621,2265262,56,87393792,892673
9/2/2020,177704,1026,17784,7087,1513,35667,367401,73028376,616999,1918,2024,6047628,30216,2230060,56,86501119,774234
9/1/2020,176678,1022,17655,7090,1839,35334,365888,72411377,654672,1902,2042,6017412,42419,2201023,56,85726885,837045
8/31/2020,175656,382,17537,7043,751,35423,364049,71756705,647110,1877,2077,5974993,31270,2183106,56,84889840,737091
8/30/2020,175274,474,17439,7268,662,35801,363298,71109595,697322,1870,2055,5943723,39285,2152344,56,84152749,828256
8/29/2020,174800,1008,17401,7413,1284,36516,362636,70412273,717934,1864,2062,5904438,43962,2139059,56,83324493,900041
8/28/2020,173792,1026,17304,7558,1627,37351,361352,69694339,727988,1856,2086,5860476,46121,2116889,56,82424452,915839
8/27/2020,172766,1124,17181,7717,1659,37529,359725,68966351,698585,1831,2125,5814355,43915,2099887,56,81508613,878172
8/26/2020,171642,1305,17046,7737,1819,38501,358066,68267766,602184,1809,2142,5770440,43626,2083058,56,80630441,753763
8/25/2020,170337,1140,16920,7863,1954,38842,356247,67665582,629365,1789,2163,5726814,36587,2052294,56,79876678,725665
8/24/2020,169197,352,16787,7851,1075,38776,354293,67036217,639701,1764,2118,5690227,34249,2019310,56,79151013,724608
8/23/2020,168845,574,16697,7949,698,39064,353218,66396516,585741,1737,2131,5655978,37324,1996283,56,78426405,711985
8/22/2020,168271,1028,16657,8207,1598,40017,352520,65810775,709705,1736,2204,5618654,45722,1984053,56,77714420,888920
8/21/2020,167243,1110,16563,8357,1767,41047,350922,65101070,701219,1730,2286,5572932,46195,1963656,56,76825500,879557
8/20/2020,166133,1134,16487,8483,1975,42081,349155,64399851,629703,1716,2335,5526737,43723,1945468,56,75945943,826037
8/19/2020,164999,1424,16377,8744,1996,43395,347180,63770148,646787,1705,2371,5483014,44882,1923539,56,75119906,800112
8/18/2020,163575,1195,16123,8866,2227,43848,345184,63123361,614380,1695,2468,5438132,40491,1887869,56,74319794,737200
8/17/2020,162380,419,15985,8871,1274,43596,342957,62508981,624196,1678,2447,5397641,37411,1864220,56,73582594,735892
8/16/2020,161961,618,15924,8958,685,44155,341683,61884785,742013,1665,2481,5360230,42322,1831798,56,72846702,850356
8/15/2020,161343,1218,15891,9087,1881,44922,340998,61142772,689392,1663,2526,5317908,55810,1817332,56,71996346,877262
8/14/2020,160125,1219,15764,9277,2143,45860,339117,60453380,800395,1665,2549,5262098,57093,1795121,56,71119084,977131
8/13/2020,158906,1164,15629,9487,2651,47322,336974,59652985,848520,1649,2579,5205005,51621,1773505,56,70141953,1020178
8/12/2020,157742,1518,15524,9555,2988,48046,334323,58804465,437894,1629,2604,5153384,55894,1753994,56,69121775,560099
8/11/2020,156224,1323,15331,9136,2599,48620,331335,58366571,698850,1612,2415,5097490,55428,1713812,56,68561676,805675
8/10/2020,154901,435,15158,9216,1594,48761,328736,57667721,689946,1592,2533,5042062,41743,1669563,56,67756001,794618
8/9/2020,154466,614,15081,9307,862,48997,327142,56977775,666501,1578,2507,5000319,50153,1655695,56,66961383,774970
8/8/2020,153852,1084,15024,9662,1479,50071,326280,56311274,617176,1561,2566,4950166,53083,1641953,56,66186413,746085
8/7/2020,152768,1333,14925,9691,7992,51301,324801,55694098,720537,1549,2617,4897083,60836,1622789,56,65440328,899958
8/6/2020,151435,1248,14810,9994,2594,53221,316809,54973561,687923,1534,2718,4836247,53803,1597514,56,64540370,845011
8/5/2020,150187,1360,14687,9986,2123,53444,314215,54285638,643406,1524,2719,4782444,52464,1576782,56,63695359,792567
8/4/2020,148827,1239,14537,10207,4408,53440,312092,53642232,666958,1493,2701,4729980,51815,1528017,56,62902792,788525
8/3/2020,147588,536,14370,10230,1606,53524,307684,52975274,686211,1463,2659,4678165,49348,1512439,56,62114267,800718
8/2/2020,147052,494,14288,10415,831,54106,306078,52289063,643902,1448,2645,4628817,46511,1467653,56,61313549,756492
8/1/2020,146558,1192,14227,10450,2366,54554,305247,51645161,676504,1445,2698,4582306,60245,1460930,56,60557057,831430
7/31/2020,145366,1313,14044,10472,2533,55700,302881,50968657,657304,1437,2703,4522061,67530,1437182,56,59725627,994993
7/30/2020,144053,1248,13875,10523,3279,56565,300348,50311353,735329,1415,2760,4454531,68805,1413102,56,58730634,898140
7/29/2020,142805,1491,13744,10539,2868,57427,297069,49576024,764452,1400,2772,4385726,63941,1389701,56,57832494,915084
7/28/2020,141314,1128,13559,10463,4051,57178,294201,48811572,712360,1372,2752,4321785,58984,1354538,56,56917410,861714
7/27/2020,140186,1065,13412,10328,1671,58991,290150,48099212,701959,1356,2720,4262801,55013,1324925,56,56055696,823229
7/26/2020,139121,560,13343,10353,1380,58731,288479,47397253,776755,1336,2723,4207788,60123,1296974,56,55232467,898258
7/25/2020,138561,1005,13279,10380,1811,59382,287099,46620498,716726,1300,2729,4147665,64376,1278557,56,54334209,880691
7/24/2020,137556,1192,13182,10395,3040,59808,285288,45903772,852820,1297,2711,4083289,74854,1260741,56,53453518,1007591
7/23/2020,136364,1061,12933,10414,2378,59854,282248,45050952,768937,1280,2465,4008435,71225,1232403,56,52445927,921125
7/22/2020,135303,1134,12790,10457,2246,59752,279870,44282015,731929,1258,2440,3937210,69346,1210067,56,51524802,907413
7/21/2020,134169,1069,12629,6711,2510,59480,277624,43550086,680386,1242,2414,3867864,63625,1182158,56,50617389,818212
7/20/2020,133100,369,12475,6557,1623,58509,275114,42869700,653991,1223,2403,3804239,56935,1159320,56,49799177,763414
7/19/2020,132731,527,12393,6384,888,58052,273491,42215709,715902,1216,2362,3747304,63715,1130378,56,49035763,844150
7/18/2020,132204,873,12342,6397,1976,57822,272603,41499807,688479,1211,2343,3683589,64422,1121981,56,48191613,861505
7/17/2020,131331,936,12243,6452,2480,57894,270627,40811328,758135,1200,2353,3619167,76218,1106096,56,47330108,919306
7/16/2020,130395,953,12091,6359,2195,57614,268147,40053193,758237,1175,2317,3542949,70449,1089922,56,46410802,914665
7/15/2020,129442,860,12002,6317,2404,56312,265952,39294956,704403,1166,2317,3472500,65617,1075159,56,45496137,859286
7/14/2020,128582,739,11857,6235,2212,55667,263548,38590553,703495,1154,2263,3406883,62734,1048400,56,44636851,819212
7/13/2020,127843,331,11749,6074,1174,54156,261336,37887058,632899,1142,2259,3344149,57603,1031219,56,43817639,763967
7/12/2020,127512,474,11679,5930,894,52860,260162,37254159,702220,1136,2182,3286546,60972,1005644,56,43053672,827309
7/11/2020,127038,752,11612,5939,5070,51982,259268,36551939,632460,1128,2169,3225574,62324,994923,56,42226363,769696
7/10/2020,126286,822,11523,5896,2207,51740,254198,35919479,745963,1118,2197,3163250,66824,982521,56,41456667,903144
7/9/2020,125464,900,11370,5845,1654,44055,251991,35173516,652431,1138,2127,3096426,58959,968441,56,40553523,786324
7/8/2020,124564,812,11303,5874,1888,43204,250337,34521085,578922,1103,2172,3037467,62736,952731,56,39767199,725585
7/7/2020,123752,905,11177,5832,1936,41957,248449,33942163,582254,1084,2098,2974731,51742,935850,56,39041614,699557
7/6/2020,122847,266,11058,5687,818,39970,246513,33359909,473004,1070,2105,2922989,41494,923481,56,38342057,643035
7/5/2020,122581,207,11010,5653,582,38872,245695,32886905,626205,1064,2080,2881495,45167,901881,56,37699022,678210
7/4/2020,122374,300,10977,5633,872,38281,245113,32260700,575143,1063,1982,2836328,54144,893652,56,37020812,673623
7/3/2020,122074,602,10936,5597,1344,37927,244241,31685557,648802,1059,2049,2782184,53688,883025,56,36347189,743913
7/2/2020,121472,696,10843,5626,1694,37627,242897,31036755,613444,1041,2105,2728496,53508,874530,56,35603276,725047
7/1/2020,120776,689,10752,5512,1433,36569,241203,30423311,593506,1027,2098,2674988,51001,822580,56,34878229,682723
6/30/2020,120087,584,10669,5424,1483,35335,239770,29829805,578183,1008,2044,2623987,47630,813219,56,34195506,670742
6/29/2020,119503,358,10542,5380,734,33744,238287,29251622,613360,990,2011,2576357,39765,797723,56,33524764,683897
6/28/2020,119145,271,10473,5252,547,32575,237553,28638262,541568,983,2077,2536592,41332,777667,56,32840867,612458
6/27/2020,118874,502,10415,5314,1048,32566,237006,28096694,554458,977,2159,2495260,42893,771895,56,32228409,637474
6/26/2020,118372,624,10334,5283,1546,31810,235958,27542236,563044,966,2075,2452367,44379,763402,56,31590935,761606
6/25/2020,117748,663,10257,5320,1279,31926,234412,26979192,602840,951,2214,2407988,39681,756120,56,30829329,658610
6/24/2020,117085,707,10173,5293,1255,31271,233133,26376352,491927,934,2248,2368307,39009,747031,56,30170719,525879
6/23/2020,116378,725,10077,5402,1262,30394,231878,25884425,468011,918,2293,2329298,33885,738454,56,29644840,658292
6/22/2020,115653,294,10002,5323,847,28954,230616,25416414,450285,909,2299,2295413,27179,731021,56,28986548,497532
6/21/2020,115359,293,9944,5195,519,28325,229769,24966129,492466,904,2321,2268234,28848,712904,56,28489016,528099
6/20/2020,115066,611,9908,5229,686,28084,229250,24473663,529679,888,2380,2239386,31951,708341,56,27960917,594922
6/19/2020,114455,656,9876,5341,1587,28706,228564,23943984,559466,884,2434,2207435,30959,697556,56,27365995,624521
6/18/2020,113799,693,9736,5464,1095,28521,226977,23384518,484106,869,2520,2176476,27089,690166,56,26741474,542900
6/17/2020,113106,794,9665,5612,1081,28664,225882,22900412,466664,857,2588,2149387,23906,680432,56,26198574,531219
6/16/2020,112312,706,9590,5570,1173,28386,224801,22433748,442884,845,2594,2125481,23268,671680,56,25667355,495235
6/15/2020,111606,406,9516,5703,688,28026,223628,21990864,412838,835,2640,2102213,18654,664469,56,25172120,448106
6/14/2020,111200,355,9466,5749,610,28020,222940,21578026,460733,834,2716,2083559,21333,649974,56,24724014,484344
6/13/2020,110845,690,9430,5883,943,28578,222330,21117293,481992,830,2726,2062226,25245,644787,56,24239670,534684
6/12/2020,110155,763,9373,6017,1380,29309,221387,20635301,592450,814,2734,2036981,23096,635522,56,23704986,602144
6/11/2020,109392,899,9295,6074,1527,29844,220007,20042851,438708,792,2886,2013885,22071,628050,56,23102842,485509
6/10/2020,108493,884,9225,6249,1237,30952,218480,19604143,411650,780,3020,1991814,20727,617695,56,22617333,458849
6/9/2020,107609,901,9141,6457,1263,31187,217243,19192493,401933,771,3090,1971087,17151,609256,56,22158484,455634
6/8/2020,106708,676,9013,6402,1095,31121,215980,18790560,377092,762,3240,1953936,17230,602715,56,21702850,411720
6/7/2020,106032,446,8957,6501,655,31490,214885,18413468,406291,753,3298,1936706,18818,590504,56,21291130,422593
6/6/2020,105586,711,8920,6762,982,31994,214230,18007177,521566,750,3476,1917888,22558,585047,56,20868537,566025
6/5/2020,104875,844,8863,6920,1513,32499,213248,17485611,484077,740,3523,1895330,23066,575917,56,20302512,589196
6/4/2020,104031,864,8787,7057,-2849,32814,211735,17001534,444547,723,3665,1872264,20383,569233,56,19713316,502028
6/3/2020,103167,980,8688,7227,2145,33237,214584,16556987,451466,717,3749,1851881,20155,556949,56,19211288,477333
6/2/2020,102187,1000,8566,7407,1736,33950,212439,16105521,399574,710,3852,1831726,20155,541613,56,18733955,443448
6/1/2020,101187,671,8485,7591,2858,34316,210703,15705947,389205,704,3950,1811571,20362,535950,56,18290507,414704
5/31/2020,100516,651,8445,7626,896,34911,207845,15316742,375413,704,3669,1791209,21392,522456,56,17875803,423904
5/30/2020,99865,918,8305,7956,1425,35735,206949,14941329,402887,698,4004,1769817,23437,494308,56,17451899,447976
5/29/2020,98947,1169,8235,8174,1565,36948,205524,14538442,467472,689,4032,1746380,23588,484191,56,17003923,516701
5/28/2020,97778,1242,8109,8389,1596,38003,203959,14070970,421569,676,4080,1722792,22659,477794,56,16487222,469032
5/27/2020,96536,1316,8015,8547,1563,38297,202363,13649401,286701,666,4222,1700133,19411,391223,56,16018190,420063
5/26/2020,95220,672,7899,8585,17287,37775,200800,13362700,287429,650,4215,1680722,16978,384609,56,15598127,315712
5/25/2020,94548,554,7847,8467,901,37711,183513,13075271,409673,642,4237,1663744,18531,378892,56,15282415,423707
5/24/2020,93994,684,7801,8485,1027,37757,182612,12665598,350629,639,4383,1645213,18860,366510,56,14858708,360995
5/23/2020,93310,1035,7770,8733,1383,38581,181585,12314969,375490,638,4620,1626353,22365,361116,56,14497713,425902
5/22/2020,92275,1303,7689,9049,3945,40014,180202,11939479,383111,633,4716,1603988,24173,349936,56,14071811,413349
5/21/2020,90972,1427,7412,9090,4547,41347,176257,11556368,439808,616,4868,1579815,26742,298183,56,13658462,497331
5/20/2020,89545,1390,7319,9521,1759,41871,171710,11116560,392713,613,4911,1553073,21259,294133,56,13161131,444295
5/19/2020,88155,1332,7217,9598,1549,42023,169951,10723847,379946,606,5032,1531814,20882,289283,56,12716836,402676
5/18/2020,86823,889,7064,9754,1133,41921,168402,10343901,334147,602,5257,1510932,20844,282949,56,12314160,362697
5/17/2020,85934,850,7003,9934,1130,42022,167269,10009754,350914,593,5467,1490088,20152,272009,56,11951463,353066
5/16/2020,85084,1195,6945,10278,1798,43507,166139,9658840,336869,592,5529,1469936,23586,268206,56,11598397,377589
5/15/2020,83889,1263,6890,10484,1313,44551,164341,9321971,335441,589,5746,1446350,25422,250665,56,11220808,403624
5/14/2020,82626,1852,6795,10655,3162,45924,163028,8986530,338429,582,5940,1420928,26713,246231,56,10817184,387919
5/13/2020,80774,1734,6713,10990,1791,46918,159866,8648101,301615,572,6156,1394215,21628,243359,56,10429265,335701
5/12/2020,79040,1506,6585,11240,1483,47344,158075,8346486,288723,559,6352,1372587,22558,238863,56,10093564,329700
5/11/2020,77534,894,6488,11148,1369,46550,156592,8057763,357001,551,6350,1350029,18298,232012,56,9763864,386281
5/10/2020,76640,1032,6445,11393,1048,46760,155223,7700762,244495,547,6395,1331731,20890,215479,56,9377583,271934
5/9/2020,75608,1456,6367,11496,1669,48561,154175,7456267,270642,543,6551,1310841,25180,211899,56,9105649,311220
5/8/2020,74152,1781,6294,11780,6240,49758,152506,7185625,272051,531,6788,1285661,27159,198423,56,8794429,308393
5/7/2020,72371,2752,5174,12136,4176,51425,146266,6913574,274260,529,7070,1258502,27227,194375,56,8486036,318401
5/6/2020,69619,1916,4911,12478,2159,52581,142090,6639314,225939,449,4753,1231275,25143,189399,56,8167635,280131
5/5/2020,67703,2494,4794,12628,1936,53176,139931,6413375,247678,439,4818,1206132,22510,189316,56,7887504,277452
5/4/2020,65209,1028,4579,12696,1772,52377,137995,6165697,209837,430,4848,1183622,22501,186670,56,7610052,237720
5/3/2020,64181,1243,4502,12720,1854,52619,136223,5955860,209546,425,4761,1161121,25540,179614,56,7372332,233929
5/2/2020,62938,1531,4386,12905,1986,54009,134369,5746314,217099,375,4845,1135581,29034,174886,56,7138403,273475
5/1/2020,61407,1808,4300,12845,9878,54862,132383,5529215,266135,376,4707,1106547,32802,163554,56,6864928,285384
4/30/2020,59599,2153,4192,13255,2376,54921,122505,5263080,203587,373,4712,1073745,29971,154587,56,6579544,268669
4/29/2020,57446,2685,4093,13535,2961,55987,120129,5059493,213057,365,4796,1043774,26226,147234,56,6310875,254269
